PassengerId,Survived
892,1
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,0
910,0
911,1
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,1
924,0
925,0
926,1
927,1
928,1
929,1
930,0
931,1
932,1
933,1
934,0
935,0
936,0
937,1
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,1
954,1
955,0
956,0
957,0
958,0
959,1
960,1
961,0
962,0
963,1
964,1
965,0
966,1
967,1
968,1
969,0
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,0
981,0
982,1
983,0
984,0
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,0
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,1
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,1
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,0
1068,1
1069,0
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,0
1086,0
1087,0
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,0
1128,0
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,1
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,1
1187,0
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,0
1196,1
1197,0
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,1
1205,1
1206,0
1207,1
1208,0
1209,0
1210,0
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
1230,1
1231,1
1232,1
1233,0
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,0
1243,0
1244,1
1245,1
1246,1
1247,0
1248,1
1249,0
1250,0
1251,0
1252,0
1253,1
1254,1
1255,1
1256,0
1257,1
1258,1
1259,0
1260,0
1261,0
1262,1
1263,1
1264,0
1265,0
1266,1
1267,0
1268,1
1269,0
1270,1
1271,1
1272,0
1273,0
1274,0
1275,0
1276,1
1277,0
1278,0
1279,1
1280,0
1281,1
1282,1
1283,0
1284,0
1285,1
1286,0
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,0
1296,1
1297,0
1298,0
1299,0
1300,1
1301,1
1302,0
1303,1
1304,1
1305,0
1306,1
1307,0
1308,0
1309,0
